"1 (n=22) Mean +/- SD";"4 (n=78) Mean +/- SD";"1 (n=22) Median (IQR)";"4 (n=78) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"4 - 1 (Tukey*)"
"X_29611.txt.gz1.tbl.gz";"0.020302 +/- 0.043877";"0.02805 +/- 0.062948";"0.0106 (-0.00025;0.02145)";"0.0106 (-5e-04;0.02145)";1.4632e-12;0.38216;0.055812;0.59007;0.59007
"X_297060.txt.gz1.tbl.gz";"0.13631 +/- 0.038639";"0.14236 +/- 0.035016";"0.1621 (0.08105;0.1621)";"0.1621 (0.1621;0.1621)";4.6312e-16;0.48614;0.56776;0.48614;0.48614
"X_297257.txt.gz1.tbl.gz";"-0.052725 +/- 0.054264";"-0.055571 +/- 0.043097";"-0.06105 (-0.1221;0)";"-0.06105 (-0.06105;0)";3.7008e-10;0.022766;0.17123;0.79704;0.79704
"X_297315.txt.gz1.tbl.gz";"-0.092132 +/- 0.063351";"-0.095907 +/- 0.08791";"-0.07555 (-0.16645;-0.037775)";"-0.056663 (-0.16645;-0.037775)";1.2345e-07;0.22544;0.080444;0.85138;0.85138
"X_29798.txt.gz1.tbl.gz";"-0.049939 +/- 0.088733";"-0.056081 +/- 0.1147";"0 (-0.042868;0)";"0 (0;0)";4.2423e-16;0.817;0.16466;0.817;0.817
"X_298282.txt.gz1.tbl.gz";"0.10465 +/- 0.036669";"0.11438 +/- 0.040892";"0.07195 (0.07195;0.1439)";"0.1439 (0.07195;0.1439)";2.1055e-13;0.74225;0.54322;0.31652;0.31652
"X_298535.txt.gz1.tbl.gz";"0.02413 +/- 0.11451";"0.02013 +/- 0.10398";"0.011217 (0;0.11954)";"0 (-0.0597;0.13447)";8.2037e-05;0.69609;0.57562;0.87648;0.87648
"X_29919.txt.gz1.tbl.gz";"0.025087 +/- 0.030987";"0.035987 +/- 0.037968";"0.02645 (-0.00078333;0.053683)";"0.030883 (0.022213;0.054467)";0.015701;0.39116;0.2661;0.2201;0.2201
"X_299259.txt.gz1.tbl.gz";"-0.023127 +/- 0.038655";"-0.038051 +/- 0.055762";"0 (-0.0636;0)";"0 (-0.0848;0)";5.8601e-14;0.24242;0.052453;0.24242;0.24242
"X_29931.txt.gz1.tbl.gz";"0.023828 +/- 0.036922";"0.018045 +/- 0.032988";"0.016012 (0.0003707;0.05245)";"0.02135 (0.0076924;0.041775)";0.00062618;0.31605;0.51215;0.48104;0.48104
"X_299471.txt.gz1.tbl.gz";"0.075925 +/- 0.043793";"0.085984 +/- 0.041561";"0.074825 (0.044362;0.10529)";"0.08545 (0.0642;0.1223)";0.00022325;0.37479;0.76341;0.32415;0.32415
"X_300066.txt.gz1.tbl.gz";"0.084502 +/- 0.066147";"0.099531 +/- 0.092279";"0.1362 (0;0.1362)";"0.1362 (0;0.1362)";4.3583e-11;0.2282;0.075986;0.47767;0.47767
"X_300467.txt.gz1.tbl.gz";"-0.094324 +/- 0.034551";"-0.070726 +/- 0.047068";"-0.080804 (-0.10299;-0.069608)";"-0.084317 (-0.10485;-0.046127)";0.0039715;0.14247;0.097741;0.031063;0.031063
"X_302550.txt.gz1.tbl.gz";"0.18934 +/- 0.080684";"0.17089 +/- 0.10236";"0.13885 (0.13885;0.2777)";"0.13885 (0.13885;0.2777)";8.9304e-11;0.26372;0.19593;0.43793;0.43793
"X_302836.txt.gz1.tbl.gz";"0.1638 +/- 0.039633";"0.15333 +/- 0.048383";"0.1848 (0.1848;0.1848)";"0.1848 (0.0924;0.1848)";9.093e-15;0.35471;0.27456;0.35471;0.35471
"X_302952.txt.gz1.tbl.gz";"-0.0012748 +/- 0.039414";"0.008593 +/- 0.056131";"0.0030536 (-0.034588;0.030475)";"0.007025 (-0.03905;0.046129)";0.058591;0.043286;0.06059;0.44236;0.44236
"X_30303.txt.gz1.tbl.gz";"-0.024236 +/- 0.032816";"-0.036743 +/- 0.04249";"0 (-0.06665;0)";"0 (-0.06665;0)";1.3802e-12;0.20508;0.16203;0.20508;0.20508
"X_30389.txt.gz1.tbl.gz";"0.11216 +/- 0.084864";"0.10545 +/- 0.081648";"0.1175 (0.029375;0.1175)";"0.1175 (0;0.1175)";3.103e-10;0.91645;0.82451;0.73641;0.73641
"X_304961.txt.gz1.tbl.gz";"0.03415 +/- 0.045938";"0.035522 +/- 0.042076";"0 (0;0.0683)";"0 (0;0.0683)";2.035e-12;0.89492;0.61109;0.89492;0.89492
"X_30507.txt.gz1.tbl.gz";"0.058943 +/- 0.054458";"0.061439 +/- 0.079142";"0.10358 (0;0.10358)";"0.045075 (0;0.10358)";1.0404e-06;0.074075;0.0482;0.88993;0.88993
"X_30543.txt.gz1.tbl.gz";"-0.097336 +/- 0.046213";"-0.085834 +/- 0.056073";"-0.075525 (-0.1464;-0.0732)";"-0.07785 (-0.1464;-0.0732)";1.9086e-09;0.49607;0.28887;0.3807;0.3807
"X_305755.txt.gz1.tbl.gz";"-0.14445 +/- 0.080665";"-0.1484 +/- 0.076833";"-0.1177 (-0.2354;-0.1177)";"-0.1177 (-0.2354;-0.1177)";8.3522e-11;0.94488;0.77962;0.83366;0.83366
"X_306612.txt.gz1.tbl.gz";"0.15966 +/- 0.10741";"0.14722 +/- 0.097825";"0.1351 (0.1351;0.2702)";"0.1351 (0.1351;0.2702)";3.5795e-10;0.36161;0.58807;0.60735;0.60735
"X_306952.txt.gz1.tbl.gz";"-0.12851 +/- 0.059281";"-0.13647 +/- 0.048385";"-0.1767 (-0.1767;-0.08835)";"-0.1767 (-0.1767;-0.08835)";7.0727e-13;0.51852;0.22996;0.51852;0.51852
"X_307766.txt.gz1.tbl.gz";"0.085977 +/- 0.062041";"0.098865 +/- 0.046861";"0.07275 (0.018188;0.1455)";"0.07275 (0.07275;0.1455)";3.7658e-11;0.11531;0.092908;0.29302;0.29302
"X_307962.txt.gz1.tbl.gz";"0.093523 +/- 0.12259";"0.12398 +/- 0.14955";"0 (0;0.20575)";"0 (0;0.20575)";3.1637e-12;0.38376;0.2761;0.38376;0.38376
"X_311564.txt.gz1.tbl.gz";"0.15002 +/- 0.042524";"0.15667 +/- 0.038537";"0.1784 (0.0892;0.1784)";"0.1784 (0.1784;0.1784)";4.6312e-16;0.48614;0.56776;0.48614;0.48614
"X_31226.txt.gz1.tbl.gz";"0.027873 +/- 0.041762";"0.039308 +/- 0.050208";"0 (0;0.0876)";"0 (0;0.0876)";1.3379e-13;0.33135;0.31151;0.33135;0.33135
"X_31321.txt.gz1.tbl.gz";"0.027645 +/- 0.08948";"0.023392 +/- 0.081558";"0 (0;0)";"0 (0;0)";1.1556e-19;0.83297;0.59104;0.83297;0.83297
"X_316692.txt.gz1.tbl.gz";"0.13082 +/- 0.11673";"0.11807 +/- 0.10563";"0.1439 (0;0.25182)";"0.1439 (0;0.1439)";2.3385e-10;0.54889;0.56187;0.62633;0.62633
"X_31688.txt.gz1.tbl.gz";"-0.040209 +/- 0.13014";"-0.068046 +/- 0.16062";"0 (0;0)";"0 (0;0)";3.4921e-18;0.4575;0.25025;0.4575;0.4575
"X_316970.txt.gz1.tbl.gz";"-0.16107 +/- 0.10665";"-0.15282 +/- 0.13025";"-0.15325 (-0.22505;-0.076625)";"-0.14868 (-0.22505;-0.076625)";3.0924e-06;0.35768;0.27369;0.78619;0.78619
"X_317228.txt.gz1.tbl.gz";"-0.13036 +/- 0.08171";"-0.16087 +/- 0.083566";"-0.1195 (-0.20912;-0.1195)";"-0.1195 (-0.239;-0.1195)";5.9309e-11;0.21957;0.89863;0.13194;0.13194
"X_317349.txt.gz1.tbl.gz";"-0.065152 +/- 0.054467";"-0.044999 +/- 0.051991";"-0.073292 (-0.097677;-0.019167)";"-0.037804 (-0.083952;-0.0056813)";0.0022497;0.66831;0.78914;0.11524;0.11524
"X_317551.txt.gz1.tbl.gz";"-0.03459 +/- 0.040593";"-0.051482 +/- 0.035683";"-0.034488 (-0.06825;-0.007025)";"-0.067525 (-0.085894;-0.02485)";1.1123e-06;0.36049;0.4519;0.060102;0.060102
"X_317749.txt.gz1.tbl.gz";"0.063091 +/- 0.047453";"0.092533 +/- 0.049601";"0.0694 (0.01735;0.0694)";"0.0694 (0.0694;0.1388)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_31785.txt.gz1.tbl.gz";"-0.026032 +/- 0.052543";"-0.028146 +/- 0.043805";"0 (0;0)";"0 (-0.09545;0)";2.3507e-15;0.84884;0.2841;0.84884;0.84884
"X_318150.txt.gz1.tbl.gz";"0.28348 +/- 0.063571";"0.26959 +/- 0.083585";"0.29316 (0.25143;0.32841)";"0.29316 (0.24405;0.32841)";1.5558e-05;0.20354;0.13975;0.47236;0.47236
"X_318238.txt.gz1.tbl.gz";"0.40616 +/- 0.062601";"0.40368 +/- 0.064964";"0.4255 (0.4255;0.4255)";"0.4255 (0.4255;0.4255)";3.9634e-19;0.87373;0.83398;0.87373;0.87373
"X_319150.txt.gz1.tbl.gz";"-0.025153 +/- 0.029854";"-0.024146 +/- 0.029025";"-0.0323 (-0.033725;0.0010688)";"-0.0323 (-0.033725;0.001425)";5.1891e-08;0.98201;0.87187;0.88665;0.88665
"X_319436.txt.gz1.tbl.gz";"-0.072068 +/- 0.13601";"-0.14229 +/- 0.18175";"0 (0;0)";"0 (-0.3171;0)";8.0303e-14;0.095806;0.11908;0.095806;0.095806
"X_319550.txt.gz1.tbl.gz";"0.26098 +/- 0.13013";"0.24809 +/- 0.13886";"0.21265 (0.21265;0.4253)";"0.21265 (0.21265;0.4253)";6.7886e-11;0.74395;0.71478;0.69769;0.69769
"X_319954.txt.gz1.tbl.gz";"0.062318 +/- 0.046872";"0.0914 +/- 0.048994";"0.06855 (0.017138;0.06855)";"0.06855 (0.06855;0.1371)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_32101.txt.gz1.tbl.gz";"-0.04075 +/- 0.066211";"-0.03563 +/- 0.048654";"0 (-0.08965;0)";"0 (-0.08965;0)";9.6448e-14;0.6894;0.063876;0.6894;0.6894
"X_321365.txt.gz1.tbl.gz";"0.12834 +/- 0.034367";"0.12691 +/- 0.045368";"0.11305 (0.10684;0.1613)";"0.11305 (0.10684;0.1613)";1.3844e-07;0.23036;0.13436;0.89109;0.89109
"X_321774.txt.gz1.tbl.gz";"0.059159 +/- 0.041115";"0.04529 +/- 0.04092";"0.059562 (0.038688;0.0835)";"0.047875 (0;0.0835)";4.2056e-07;0.85202;0.97846;0.16391;0.16391
"X_322040.txt.gz1.tbl.gz";"0.031068 +/- 0.040723";"0.041185 +/- 0.047174";"0 (0;0.06835)";"0 (0;0.06835)";4.6752e-12;0.36312;0.41563;0.36312;0.36312
"X_323423.txt.gz1.tbl.gz";"0.08733 +/- 0.04282";"0.084936 +/- 0.047627";"0.06625 (0.06625;0.1325)";"0.06625 (0.06625;0.1325)";5.9309e-11;0.45777;0.55266;0.83208;0.83208
"X_323550.txt.gz1.tbl.gz";"-0.41411 +/- 0.21026";"-0.3431 +/- 0.20188";"-0.5694 (-0.5694;-0.2847)";"-0.2847 (-0.5694;-0.2847)";8.6218e-11;0.95892;0.81533;0.15193;0.15193
"X_328321.txt.gz1.tbl.gz";"0.069639 +/- 0.063557";"0.086134 +/- 0.071773";"0.078225 (0.017717;0.1184)";"0.098067 (0.036087;0.13873)";0.0052911;0.88799;0.49883;0.33205;0.33205
"X_329050.txt.gz1.tbl.gz";"-0.087083 +/- 0.055104";"-0.091793 +/- 0.04975";"-0.076775 (-0.11626;-0.049458)";"-0.07915 (-0.13041;-0.058953)";0.068151;0.80594;0.55289;0.70256;0.70256
"X_329130.txt.gz1.tbl.gz";"-0.077019 +/- 0.053867";"-0.076214 +/- 0.062944";"-0.06245 (-0.11112;-0.031225)";"-0.0799 (-0.11112;-0.031225)";3.056e-06;0.15466;0.38953;0.9566;0.9566
"X_329275.txt.gz1.tbl.gz";"-0.026823 +/- 0.047874";"-0.030262 +/- 0.048937";"0 (-0.063225;0)";"0 (-0.0843;0)";1.1022e-14;0.77057;0.90082;0.77057;0.77057
"X_32932.txt.gz1.tbl.gz";"0.056466 +/- 0.045072";"0.054004 +/- 0.054152";"0.0739 (0;0.0739)";"0.0739 (0;0.0739)";1.0252e-10;0.12409;0.31319;0.84591;0.84591
"X_329455.txt.gz1.tbl.gz";"0.0099636 +/- 0.046734";"0.025292 +/- 0.046476";"0 (0;0)";"0 (0;0)";6.481e-17;0.17549;0.97486;0.17549;0.17549
"X_329692.txt.gz1.tbl.gz";"0.056097 +/- 0.030093";"0.053476 +/- 0.035276";"0.047542 (0.043827;0.075992)";"0.04615 (0.0387;0.075358)";0.010011;0.45578;0.38024;0.75184;0.75184
"X_330258.txt.gz1.tbl.gz";"-0.084034 +/- 0.052516";"-0.079638 +/- 0.050239";"-0.07395 (-0.1479;-0.07395)";"-0.07395 (-0.1479;-0.07395)";2.4666e-10;0.75254;0.79897;0.72045;0.72045
"X_33092.txt.gz1.tbl.gz";"0.055629 +/- 0.042929";"0.069303 +/- 0.045429";"0.042967 (0.039783;0.08485)";"0.08485 (0.039783;0.11626)";6.5433e-06;0.42265;0.7497;0.21015;0.21015
"X_331062.txt.gz1.tbl.gz";"0.075719 +/- 0.03185";"0.074372 +/- 0.034559";"0.08045 (0.061297;0.10344)";"0.08045 (0.051725;0.089038)";0.00011948;0.65548;0.64709;0.86988;0.86988
"X_331127.txt.gz1.tbl.gz";"-0.33638 +/- 0.036692";"-0.32214 +/- 0.057909";"-0.3442 (-0.3442;-0.3442)";"-0.3442 (-0.3442;-0.3442)";7.0571e-19;0.27789;0.017765;0.27789;0.27789
"X_331321.txt.gz1.tbl.gz";"-0.081364 +/- 0.11017";"-0.10614 +/- 0.13359";"0 (-0.22375;0)";"0 (-0.22375;0)";3.0851e-13;0.42797;0.29032;0.42797;0.42797
"X_331733.txt.gz1.tbl.gz";"0.14373 +/- 0.069348";"0.16621 +/- 0.062458";"0.1054 (0.1054;0.2108)";"0.2108 (0.1054;0.2108)";5.1523e-13;0.3808;0.54325;0.14883;0.14883
"X_332049.txt.gz1.tbl.gz";"-0.25193 +/- 0.071618";"-0.25167 +/- 0.07828";"-0.26102 (-0.3239;-0.22482)";"-0.26102 (-0.3239;-0.22482)";7.9014e-09;0.39445;0.61848;0.98877;0.98877
"X_332337.txt.gz1.tbl.gz";"-0.036552 +/- 0.044964";"-0.042384 +/- 0.057102";"0 (-0.08935;0)";"0 (-0.08935;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_332451.txt.gz1.tbl.gz";"0.18713 +/- 0.086322";"0.17153 +/- 0.091949";"0.2573 (0.12865;0.2573)";"0.12865 (0.12865;0.2573)";1.6811e-11;0.58853;0.7223;0.47838;0.47838
"X_333257.txt.gz1.tbl.gz";"0.022426 +/- 0.046808";"0.028335 +/- 0.04017";"0.040275 (-0.0066062;0.04405)";"0.040275 (-0.003775;0.04405)";4.208e-07;0.76219;0.37021;0.55841;0.55841
"X_333650.txt.gz1.tbl.gz";"0.064041 +/- 0.030673";"0.060556 +/- 0.03283";"0.066112 (0.043975;0.08825)";"0.066112 (0.043975;0.073688)";0.0034516;0.63309;0.70237;0.65672;0.65672
"X_333933.txt.gz1.tbl.gz";"-0.19417 +/- 0.095205";"-0.21528 +/- 0.096991";"-0.1473 (-0.2946;-0.1473)";"-0.2946 (-0.2946;-0.1473)";5.1122e-12;0.80085;0.91599;0.36746;0.36746
"X_335280.txt.gz1.tbl.gz";"-0.042969 +/- 0.039117";"-0.046426 +/- 0.041356";"-0.04815 (-0.059675;-0.011525)";"-0.04815 (-0.0963;-0.011525)";1.6933e-06;0.37256;0.75381;0.72693;0.72693
"X_335650.txt.gz1.tbl.gz";"-0.21255 +/- 0.04006";"-0.20032 +/- 0.055709";"-0.2281 (-0.2281;-0.2281)";"-0.2281 (-0.2281;-0.2281)";1.178e-16;0.33922;0.078623;0.33922;0.33922
"X_335851.txt.gz1.tbl.gz";"0.064227 +/- 0.048308";"0.0942 +/- 0.050495";"0.07065 (0.017662;0.07065)";"0.07065 (0.07065;0.1413)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_336050.txt.gz1.tbl.gz";"0.089161 +/- 0.054605";"0.078238 +/- 0.046495";"0.07265 (0.07265;0.1453)";"0.07265 (0.07265;0.07265)";1.5986e-10;0.13522;0.34549;0.35164;0.35164
"X_336476.txt.gz1.tbl.gz";"0.018778 +/- 0.056685";"0.014846 +/- 0.051761";"0 (0;0)";"0 (0;0)";1.4555e-19;0.75859;0.59857;0.75859;0.75859
"X_336651.txt.gz1.tbl.gz";"-0.24181 +/- 0.094792";"-0.22136 +/- 0.079705";"-0.26295 (-0.30755;-0.17608)";"-0.22068 (-0.30332;-0.17608)";7.5835e-05;0.14138;0.30801;0.31093;0.31093
"X_33678.txt.gz1.tbl.gz";"0.10938 +/- 0.053922";"0.10982 +/- 0.061512";"0.09625 (0.09625;0.09625)";"0.09625 (0.09625;0.1925)";3.8677e-11;0.38019;0.46465;0.97533;0.97533
"X_337649.txt.gz1.tbl.gz";"-0.22824 +/- 0.071433";"-0.23002 +/- 0.079632";"-0.20275 (-0.287;-0.17312)";"-0.2475 (-0.287;-0.16325)";6.6002e-06;0.3657;0.54446;0.92462;0.92462
"X_337849.txt.gz1.tbl.gz";"-0.032264 +/- 0.048341";"-0.0273 +/- 0.045268";"0 (-0.1014;0)";"0 (-0.1014;0)";8.5712e-16;0.65547;0.70487;0.65547;0.65547
"X_33871.txt.gz1.tbl.gz";"0.060727 +/- 0.045675";"0.089067 +/- 0.047743";"0.0668 (0.0167;0.0668)";"0.0668 (0.0668;0.1336)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_33897.txt.gz1.tbl.gz";"0.086495 +/- 0.047178";"0.10072 +/- 0.041736";"0.08595 (0.044975;0.12693)";"0.08995 (0.08595;0.13093)";8.9633e-06;0.56978;0.47512;0.1732;0.1732
"X_339654.txt.gz1.tbl.gz";"0.086691 +/- 0.083738";"0.071826 +/- 0.079996";"0.1192 (0;0.1192)";"0.0596 (0;0.1192)";1.6316e-11;0.51151;0.79277;0.44789;0.44789
"X_33977.txt.gz1.tbl.gz";"0.027809 +/- 0.041666";"0.023531 +/- 0.039018";"0 (0;0.0874)";"0 (0;0.0874)";8.5712e-16;0.65547;0.70487;0.65547;0.65547
"X_34056.txt.gz1.tbl.gz";"0.12837 +/- 0.045586";"0.13176 +/- 0.040957";"0.1569 (0.07845;0.1569)";"0.1569 (0.07845;0.1569)";8.7343e-15;0.73929;0.5337;0.73929;0.73929
"X_341350.txt.gz1.tbl.gz";"-0.030799 +/- 0.041672";"-0.031872 +/- 0.045218";"-0.045875 (-0.05095;-0.005075)";"-0.05095 (-0.05095;-0.005075)";1.9531e-06;0.82224;0.64706;0.92061;0.92061
"X_342021.txt.gz1.tbl.gz";"0.1277 +/- 0.074711";"0.1388 +/- 0.061537";"0.1366 (0.1366;0.1949)";"0.1366 (0.1366;0.1949)";1.0791e-10;0.51437;0.25229;0.47834;0.47834
"X_342154.txt.gz1.tbl.gz";"-0.055054 +/- 0.022367";"-0.061595 +/- 0.033311";"-0.053817 (-0.0671;-0.044133)";"-0.057417 (-0.077683;-0.044133)";0.047571;0.060861;0.036227;0.38857;0.38857
"X_342359.txt.gz1.tbl.gz";"0.025255 +/- 0.0696";"0.048081 +/- 0.080174";"0 (0;0)";"0 (0;0.1389)";2.0446e-15;0.2285;0.43317;0.2285;0.2285
"X_342763.txt.gz1.tbl.gz";"0.11865 +/- 0.047271";"0.10445 +/- 0.053319";"0.1582 (0.0791;0.1582)";"0.0791 (0.0791;0.1582)";1.8816e-11;0.68543;0.50285;0.26156;0.26156
"X_343154.txt.gz1.tbl.gz";"-0.16982 +/- 0.15407";"-0.13845 +/- 0.10107";"-0.1417 (-0.1417;-0.07085)";"-0.1417 (-0.1417;-0.07085)";2.3238e-13;0.024598;0.0098997;0.25922;0.25922
"X_343221.txt.gz1.tbl.gz";"-0.12535 +/- 0.044511";"-0.12865 +/- 0.039991";"-0.1532 (-0.1532;-0.0766)";"-0.1532 (-0.1532;-0.0766)";8.7343e-15;0.73929;0.5337;0.73929;0.73929
"X_343434.txt.gz1.tbl.gz";"-0.067493 +/- 0.033942";"-0.073927 +/- 0.037643";"-0.06975 (-0.09495;-0.047475)";"-0.07815 (-0.10882;-0.047475)";0.0026553;0.99649;0.56335;0.47163;0.47163
"X_343553.txt.gz1.tbl.gz";"-0.062052 +/- 0.03113";"-0.068049 +/- 0.033967";"-0.067325 (-0.0809;-0.04045)";"-0.07185 (-0.10325;-0.04045)";0.00032016;0.91991;0.62515;0.45851;0.45851
"X_343810.txt.gz1.tbl.gz";"-0.024164 +/- 0.040388";"-0.026126 +/- 0.0454";"0 (-0.06645;0)";"0 (-0.0886;0)";2.3528e-15;0.85505;0.51473;0.85505;0.85505
"X_344553.txt.gz1.tbl.gz";"-0.031295 +/- 0.038498";"-0.036288 +/- 0.04889";"0 (-0.0765;0)";"0 (-0.0765;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_34467.txt.gz1.tbl.gz";"-0.00032423 +/- 0.05348";"0.003496 +/- 0.061908";"0.0037625 (-0.04179;0.031415)";"-0.00031667 (-0.039583;0.03215)";0.0014404;0.58625;0.41781;0.7932;0.7932
"X_344764.txt.gz1.tbl.gz";"-0.014815 +/- 0.037883";"-0.012279 +/- 0.036892";"0 (-0.044075;0)";"0 (-0.044075;0)";3.0302e-09;0.54921;0.87936;0.77768;0.77768
"X_344813.txt.gz1.tbl.gz";"-0.14279 +/- 0.17565";"-0.16558 +/- 0.22307";"0 (-0.34905;0)";"0 (-0.34905;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_344958.txt.gz1.tbl.gz";"0.05567 +/- 0.077764";"0.071836 +/- 0.086431";"0 (0;0.1648)";"0 (0;0.1648)";7.1279e-14;0.4308;0.55537;0.4308;0.4308
"X_34504.txt.gz1.tbl.gz";"-0.029723 +/- 0.037807";"-0.025351 +/- 0.042445";"0 (-0.07785;0)";"0 (-0.07785;0)";1.8675e-14;0.66345;0.51923;0.66345;0.66345
"X_345217.txt.gz1.tbl.gz";"0.099682 +/- 0.048096";"0.094655 +/- 0.045794";"0.0731 (0.0731;0.1462)";"0.0731 (0.0731;0.1462)";2.2956e-11;0.56041;0.77787;0.65387;0.65387
"X_345949.txt.gz1.tbl.gz";"-0.04742 +/- 0.11025";"-0.061525 +/- 0.11208";"0 (0;0)";"0 (-0.15649;0)";8.1389e-16;0.60207;0.92569;0.60207;0.60207
"X_34701.txt.gz1.tbl.gz";"-0.10806 +/- 0.052867";"-0.11436 +/- 0.065313";"-0.076187 (-0.16363;-0.066142)";"-0.089583 (-0.16176;-0.061467)";8.1324e-07;0.60278;0.24798;0.67892;0.67892
"X_347149.txt.gz1.tbl.gz";"0.071409 +/- 0.05371";"0.10473 +/- 0.056141";"0.07855 (0.019638;0.07855)";"0.07855 (0.07855;0.1571)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_348460.txt.gz1.tbl.gz";"0.067114 +/- 0.09907";"0.071932 +/- 0.09137";"0 (0;0.14765)";"0 (0;0.14765)";6.1086e-13;0.83064;0.6398;0.83064;0.83064
"X_348864.txt.gz1.tbl.gz";"0.16258 +/- 0.062678";"0.16724 +/- 0.059789";"0.2104 (0.1052;0.2104)";"0.2104 (0.1052;0.2104)";1.4273e-13;0.75007;0.78622;0.75007;0.75007
"X_349515.txt.gz1.tbl.gz";"-0.011773 +/- 0.077879";"-0.0059199 +/- 0.066806";"0 (0;0.03715)";"0 (0;0.03715)";1.6288e-13;0.40026;0.36882;0.7273;0.7273
"X_349977.txt.gz1.tbl.gz";"-0.03148 +/- 0.045426";"-0.029596 +/- 0.043372";"0 (-0.07695;0)";"0 (-0.07695;0)";5.8308e-14;0.85906;0.7903;0.85906;0.85906
"X_35091.txt.gz1.tbl.gz";"-0.0976 +/- 0.07969";"-0.11637 +/- 0.061038";"-0.0976 (-0.1952;0)";"-0.0976 (-0.1952;-0.0976)";1.6009e-10;0.078079;0.11115;0.23797;0.23797
"X_35193.txt.gz1.tbl.gz";"-0.17967 +/- 0.043472";"-0.17411 +/- 0.048722";"-0.2027 (-0.2027;-0.2027)";"-0.2027 (-0.2027;-0.10135)";1.1681e-15;0.63039;0.52526;0.63039;0.63039
"X_353826.txt.gz1.tbl.gz";"0 +/- 0";"-0.013542 +/- 0.043408";"0 (0;0)";"0 (0;0)";5.9608e-20;0.14805;0;0.14805;0.14805
"X_355424.txt.gz1.tbl.gz";"-0.024958 +/- 0.048987";"-0.027984 +/- 0.05186";"0 (-0.034481;0)";"0 (-0.045975;0)";3.9505e-15;0.80734;0.74813;0.80734;0.80734
"X_358153.txt.gz1.tbl.gz";"-0.22214 +/- 0.18331";"-0.25688 +/- 0.16188";"-0.24435 (-0.24435;0)";"-0.24435 (-0.24435;-0.24435)";2.7016e-10;0.36758;0.46866;0.39004;0.39004
"X_358354.txt.gz1.tbl.gz";"-0.045712 +/- 0.042396";"-0.039446 +/- 0.039929";"-0.043988 (-0.083806;0)";"-0.03565 (-0.066556;0)";2.4734e-08;0.58316;0.7297;0.52277;0.52277
"X_35924.txt.gz1.tbl.gz";"0.030994 +/- 0.065055";"0.012198 +/- 0.07446";"0.046733 (-0.02631;0.088473)";"0.016286 (-0.042302;0.071425)";3.8777e-05;0.37012;0.45371;0.2858;0.2858
"X_359372.txt.gz1.tbl.gz";"0.16478 +/- 0.043487";"0.16267 +/- 0.048885";"0.1908 (0.11925;0.1908)";"0.1908 (0.0954;0.1908)";2.3528e-15;0.85505;0.51473;0.85505;0.85505
"X_360154.txt.gz1.tbl.gz";"-0.077128 +/- 0.038067";"-0.082591 +/- 0.034909";"-0.0764 (-0.11893;-0.075412)";"-0.0764 (-0.11893;-0.0764)";2.463e-07;0.61868;0.61608;0.52657;0.52657
