"1 (n=22) Mean +/- SD";"4 (n=78) Mean +/- SD";"1 (n=22) Median (IQR)";"4 (n=78) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"4 - 1 (Tukey*)"
"X_360360.txt.gz1.tbl.gz";"0.10336 +/- 0.049873";"0.10107 +/- 0.049873";"0.0758 (0.0758;0.1516)";"0.0758 (0.0758;0.1516)";2.4219e-11;0.95423;1;0.84909;0.84909
"X_360577.txt.gz1.tbl.gz";"0.049623 +/- 0.032807";"0.045274 +/- 0.030973";"0.057083 (0.029633;0.070671)";"0.031283 (0.029633;0.057083)";0.00015763;0.9353;0.74045;0.56717;0.56717
"X_361170.txt.gz1.tbl.gz";"0.096422 +/- 0.071465";"0.074252 +/- 0.080448";"0.11065 (0.020019;0.11065)";"0.11065 (0;0.11065)";5.5783e-10;0.11965;0.50979;0.24553;0.24553
"X_361362.txt.gz1.tbl.gz";"0.1083 +/- 0.089054";"0.13344 +/- 0.095523";"0.1254 (0;0.1254)";"0.1254 (0.03135;0.2508)";4.6914e-10;0.52574;0.69352;0.27153;0.27153
"X_36163.txt.gz1.tbl.gz";"-0.043691 +/- 0.053746";"-0.050662 +/- 0.068254";"0 (-0.1068;0)";"0 (-0.1068;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_361780.txt.gz1.tbl.gz";"0.15265 +/- 0.079485";"0.14615 +/- 0.076347";"0.14848 (0.079975;0.22845)";"0.14848 (0.079975;0.22558)";2.1888e-05;0.82278;0.81712;0.72744;0.72744
"X_363370.txt.gz1.tbl.gz";"0.11455 +/- 0.029734";"0.11344 +/- 0.038695";"0.10465 (0.093888;0.14262)";"0.10465 (0.093888;0.14262)";1.7496e-07;0.25029;0.15437;0.90208;0.90208
"X_36424.txt.gz1.tbl.gz";"-0.047539 +/- 0.05359";"-0.041474 +/- 0.047642";"-0.040225 (-0.08045;0)";"0 (-0.08045;0)";3.6499e-12;0.56607;0.49335;0.60916;0.60916
"X_36445.txt.gz1.tbl.gz";"-0.21827 +/- 0.047392";"-0.22297 +/- 0.046251";"-0.2401 (-0.2401;-0.2401)";"-0.2401 (-0.2401;-0.2401)";6.1591e-18;0.67639;0.889;0.67639;0.67639
"X_364749.txt.gz1.tbl.gz";"0.13758 +/- 0.035588";"0.12369 +/- 0.064407";"0.14337 (0.10828;0.153)";"0.153 (0.0875;0.16552)";1.0651e-07;0.10347;0.0027472;0.33527;0.33527
"X_365150.txt.gz1.tbl.gz";"-0.10933 +/- 0.086515";"-0.11049 +/- 0.08373";"-0.08085 (-0.1834;-0.0539)";"-0.1078 (-0.1834;-0.0539)";7.2801e-06;0.53363;0.85122;0.95448;0.95448
"X_365774.txt.gz1.tbl.gz";"0.056591 +/- 0.042564";"0.083 +/- 0.044491";"0.06225 (0.015562;0.06225)";"0.06225 (0.06225;0.1245)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_366617.txt.gz1.tbl.gz";"-0.10335 +/- 0.1023";"-0.07039 +/- 0.091317";"-0.12508 (-0.20212;-0.013969)";"-0.02235 (-0.12508;-0.02235)";2.1542e-07;0.78915;0.50865;0.14861;0.14861
"X_367615.txt.gz1.tbl.gz";"0.059792 +/- 0.030051";"0.05719 +/- 0.043729";"0.067283 (0.032242;0.083358)";"0.054188 (0.027408;0.083604)";0.27156;0.086504;0.047496;0.79404;0.79404
"X_368187.txt.gz1.tbl.gz";"0.076273 +/- 0.057368";"0.11187 +/- 0.059965";"0.0839 (0.020975;0.0839)";"0.0839 (0.0839;0.1678)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_371049.txt.gz1.tbl.gz";"0.20556 +/- 0.038743";"0.19515 +/- 0.046773";"0.2206 (0.2206;0.2206)";"0.2206 (0.2206;0.2206)";7.8337e-17;0.34198;0.30112;0.34198;0.34198
"X_37192.txt.gz1.tbl.gz";"0.19492 +/- 0.07491";"0.21546 +/- 0.044691";"0.2318 (0.2318;0.2318)";"0.2318 (0.2318;0.2318)";8.567e-18;0.10941;0.0013678;0.10941;0.10941
"X_375868.txt.gz1.tbl.gz";"-0.030155 +/- 0.034774";"-0.030578 +/- 0.043458";"-0.03415 (-0.039;0)";"-0.039 (-0.078;0.00485)";6.581e-08;0.14149;0.22426;0.96661;0.96661
"X_377315.txt.gz1.tbl.gz";"-0.0039295 +/- 0.034829";"-0.0056955 +/- 0.038751";"-0.0083 (-0.0166;0.024038)";"0 (-0.04865;0.03205)";0.00077625;0.54929;0.55151;0.84752;0.84752
"X_380310.txt.gz1.tbl.gz";"-0.065109 +/- 0.028941";"-0.072171 +/- 0.027757";"-0.0753 (-0.0753;-0.04825)";"-0.0753 (-0.0801;-0.04825)";2.6156e-05;0.74286;0.81042;0.29895;0.29895
"X_380655.txt.gz1.tbl.gz";"0.24216 +/- 0.063909";"0.26422 +/- 0.045082";"0.2804 (0.17525;0.2804)";"0.2804 (0.2804;0.2804)";5.7229e-18;0.069107;0.034657;0.069107;0.069107
"X_382068.txt.gz1.tbl.gz";"-0.27424 +/- 0.042268";"-0.27072 +/- 0.046191";"-0.2873 (-0.2873;-0.2873)";"-0.2873 (-0.2873;-0.2873)";7.0571e-19;0.74893;0.61919;0.74893;0.74893
"X_382518.txt.gz1.tbl.gz";"0.069927 +/- 0.067545";"0.054238 +/- 0.057125";"0.09615 (0;0.09615)";"0.09615 (0;0.09615)";7.0223e-12;0.95423;0.32494;0.27748;0.27748
"X_38442.txt.gz1.tbl.gz";"0.048809 +/- 0.050465";"0.037367 +/- 0.044128";"0.0767 (0;0.0767)";"0 (0;0.0767)";1.4752e-12;0.66842;0.43323;0.30072;0.30072
"X_384756.txt.gz1.tbl.gz";"-0.26082 +/- 0.068832";"-0.25284 +/- 0.074787";"-0.302 (-0.302;-0.18875)";"-0.302 (-0.302;-0.151)";6.6138e-15;0.65411;0.64183;0.65411;0.65411
"X_385424.txt.gz1.tbl.gz";"-0.22806 +/- 0.055182";"-0.21112 +/- 0.071747";"-0.2573 (-0.2573;-0.2573)";"-0.2573 (-0.2573;-0.12865)";8.7343e-15;0.30831;0.15573;0.30831;0.30831
"X_38585.txt.gz1.tbl.gz";"0.32541 +/- 0.40429";"0.35301 +/- 0.34345";"0 (0;0.5507)";"0.5507 (0;0.5507)";1.4695e-11;0.56529;0.33836;0.7497;0.7497
"X_38667.txt.gz1.tbl.gz";"0.13867 +/- 0.039306";"0.14482 +/- 0.035621";"0.1649 (0.08245;0.1649)";"0.1649 (0.1649;0.1649)";4.6312e-16;0.48614;0.56776;0.48614;0.48614
"X_387351.txt.gz1.tbl.gz";"0.064364 +/- 0.04841";"0.0944 +/- 0.050602";"0.0708 (0.0177;0.0708)";"0.0708 (0.0708;0.1416)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_387767.txt.gz1.tbl.gz";"-0.6815 +/- 0.47028";"-0.80382 +/- 0.46265";"-0.6815 (-0.6815;-0.6815)";"-0.6815 (-1.363;-0.6815)";1.996e-10;0.78929;0.92557;0.2778;0.2778
"X_387950.txt.gz1.tbl.gz";"-0.021082 +/- 0.045774";"-0.028529 +/- 0.049994";"0 (0;0)";"0 (-0.016669;0)";2.1182e-16;0.53143;0.62137;0.53143;0.53143
"X_389364.txt.gz1.tbl.gz";"-0.030091 +/- 0.054446";"-0.037131 +/- 0.045515";"0 (-0.062063;0)";"0 (-0.08275;0)";1.8716e-13;0.54123;0.29159;0.54123;0.54123
"X_389415.txt.gz1.tbl.gz";"-0.11645 +/- 0.050369";"-0.11613 +/- 0.060214";"-0.0915 (-0.183;-0.0915)";"-0.0915 (-0.183;-0.0915)";3.3236e-11;0.26221;0.32608;0.98189;0.98189
"X_38985.txt.gz1.tbl.gz";"0.033027 +/- 0.049485";"0.013308 +/- 0.034927";"0 (0;0.1038)";"0 (0;0)";1.4587e-17;0.036439;0.034973;0.036439;0.036439
"X_412360.txt.gz1.tbl.gz";"-0.027252 +/- 0.040832";"-0.036237 +/- 0.048841";"0 (-0.08565;0)";"0 (-0.08565;0)";8.0303e-14;0.43269;0.32458;0.43269;0.43269
"X_412552.txt.gz1.tbl.gz";"-0.13484 +/- 0.055231";"-0.15093 +/- 0.054092";"-0.13905 (-0.1854;-0.0927)";"-0.1854 (-0.1854;-0.0927)";9.6448e-14;0.17501;0.90516;0.22267;0.22267
"X_412775.txt.gz1.tbl.gz";"0.0070962 +/- 0.032481";"0.028431 +/- 0.035526";"0.0124 (-0.025283;0.024379)";"0.040783 (0.0124;0.053183)";0.00083661;0.50269;0.61581;0.012909;0.012909
"X_412972.txt.gz1.tbl.gz";"0.080914 +/- 0.083659";"0.064565 +/- 0.081011";"0.12715 (0;0.12715)";"0 (0;0.12715)";3.1301e-12;0.79929;0.85375;0.4085;0.4085
"X_413172.txt.gz1.tbl.gz";"-0.08537 +/- 0.063225";"-0.092513 +/- 0.068225";"-0.09885 (-0.09885;-0.024712)";"-0.09885 (-0.09885;0)";2.2499e-10;0.59192;0.66917;0.6606;0.6606
"X_41344.txt.gz1.tbl.gz";"0 +/- 0";"-0.026666 +/- 0.05453";"0 (0;0)";"0 (0;0)";1.4954e-17;0.024447;0;0.024447;0.024447
"X_413584.txt.gz1.tbl.gz";"0.15839 +/- 0.038325";"0.15541 +/- 0.039185";"0.1787 (0.1787;0.1787)";"0.1787 (0.10436;0.1787)";4.7728e-16;0.75236;0.89979;0.75236;0.75236
"X_413757.txt.gz1.tbl.gz";"-0.15004 +/- 0.061819";"-0.15639 +/- 0.062967";"-0.1771 (-0.1884;-0.0942)";"-0.1884 (-0.1884;-0.098762)";2.0626e-06;0.93047;0.91682;0.67566;0.67566
"X_413825.txt.gz1.tbl.gz";"0.055227 +/- 0.045573";"0.047381 +/- 0.038701";"0.06075 (0;0.06075)";"0.06075 (0;0.06075)";1.2588e-10;0.43614;0.33729;0.42161;0.42161
"X_413971.txt.gz1.tbl.gz";"0.16576 +/- 0.18006";"0.20653 +/- 0.19045";"0.24562 (0;0.2872)";"0.24562 (0;0.2872)";5.8999e-09;0.86528;0.75199;0.37183;0.37183
"X_414849.txt.gz1.tbl.gz";"-0.025511 +/- 0.052757";"-0.022697 +/- 0.050328";"0 (0;0)";"0 (0;0)";2.3574e-17;0.81922;0.78642;0.81922;0.81922
"X_41498.txt.gz1.tbl.gz";"-0.060455 +/- 0.049711";"-0.042179 +/- 0.046977";"-0.07 (-0.07;0)";"-0.035 (-0.07;0)";2.745e-11;0.24039;0.74465;0.11478;0.11478
"X_41516.txt.gz1.tbl.gz";"0.26352 +/- 0.060863";"0.26688 +/- 0.045896";"0.29825 (0.22138;0.29825)";"0.29825 (0.2283;0.29825)";1.4271e-13;0.77895;0.090942;0.77895;0.77895
"X_415258.txt.gz1.tbl.gz";"-0.050943 +/- 0.045853";"-0.059702 +/- 0.039964";"-0.058431 (-0.082935;-0.01639)";"-0.061092 (-0.08205;-0.032435)";0.39861;0.23818;0.42183;0.38172;0.38172
"X_415311.txt.gz1.tbl.gz";"-0.10885 +/- 0.12431";"-0.12061 +/- 0.099811";"-0.085525 (-0.17105;0)";"-0.17105 (-0.17105;0)";1.5353e-11;0.062985;0.19327;0.64534;0.64534
"X_415457.txt.gz1.tbl.gz";"-0.087457 +/- 0.048578";"-0.097073 +/- 0.055066";"-0.0884 (-0.13289;-0.049)";"-0.088462 (-0.13352;-0.0458)";0.0024635;0.50628;0.48585;0.46036;0.46036
"X_41553.txt.gz1.tbl.gz";"-0.0007659 +/- 0.04262";"0.0057395 +/- 0.055805";"-0.0214 (-0.03745;0.034917)";"-0.0214 (-0.0428;0.056317)";2.4157e-05;0.27022;0.14554;0.61397;0.61397
"X_41572.txt.gz1.tbl.gz";"-0.060886 +/- 0.062663";"-0.064173 +/- 0.049768";"-0.0705 (-0.141;0)";"-0.0705 (-0.0705;0)";3.7008e-10;0.022766;0.17123;0.79704;0.79704
"X_415854.txt.gz1.tbl.gz";"-0.13669 +/- 0.082408";"-0.12117 +/- 0.076158";"-0.1074 (-0.2148;-0.1074)";"-0.1074 (-0.2148;-0.1074)";2.5375e-10;0.30934;0.64839;0.40899;0.40899
"X_4159130.txt.gz1.tbl.gz";"-0.10382 +/- 0.038199";"-0.11094 +/- 0.037369";"-0.10821 (-0.13068;-0.08983)";"-0.11336 (-0.1331;-0.08661)";0.048814;0.94252;0.90004;0.43454;0.43454
"X_416254.txt.gz1.tbl.gz";"0.020239 +/- 0.038196";"0.046141 +/- 0.058501";"0 (0;0)";"0 (0;0.08905)";3.4447e-13;0.05302;0.025847;0.05302;0.05302
"X_41881.txt.gz1.tbl.gz";"-0.045027 +/- 0.050759";"-0.045915 +/- 0.052592";"-0.0381 (-0.0762;0)";"0 (-0.0762;0)";8.5929e-12;0.93876;0.84087;0.94396;0.94396
"X_419210.txt.gz1.tbl.gz";"0.07453 +/- 0.066101";"0.09274 +/- 0.071979";"0.09645 (0;0.09645)";"0.09645 (0;0.16879)";4.1492e-10;0.67371;0.6331;0.289;0.289
"X_419426.txt.gz1.tbl.gz";"0.055791 +/- 0.057419";"0.058803 +/- 0.045603";"0.0646 (0;0.1292)";"0.0646 (0;0.0646)";3.7008e-10;0.022766;0.17123;0.79704;0.79704
"X_420960.txt.gz1.tbl.gz";"0.12849 +/- 0.027419";"0.12665 +/- 0.028131";"0.13551 (0.11098;0.1528)";"0.11822 (0.11098;0.1528)";4.1498e-10;0.83867;0.88443;0.78625;0.78625
"X_421749.txt.gz1.tbl.gz";"-0.022409 +/- 0.052102";"-0.016433 +/- 0.036984";"0 (0;0)";"0 (0;0)";2.4785e-17;0.54444;0.03823;0.54444;0.54444
"X_422039.txt.gz1.tbl.gz";"0.10903 +/- 0.035956";"0.08864 +/- 0.047478";"0.1411 (0.07055;0.1411)";"0.07055 (0.07055;0.1411)";2.9067e-11;0.63335;0.13402;0.064953;0.064953
"X_42247.txt.gz1.tbl.gz";"-0.023536 +/- 0.03676";"-0.012027 +/- 0.031635";"-0.037312 (-0.038525;-0.002425)";"-0.00485 (-0.038525;-0.002425)";2.6527e-06;0.27512;0.37923;0.14927;0.14927
"X_423219.txt.gz1.tbl.gz";"-0.06725 +/- 0.068833";"-0.082769 +/- 0.08998";"-0.06725 (-0.1345;0)";"-0.1345 (-0.1345;0)";7.3086e-12;0.39897;0.14786;0.45594;0.45594
"X_42348.txt.gz1.tbl.gz";"0.091401 +/- 0.053117";"0.087351 +/- 0.058012";"0.0979 (0.055338;0.12394)";"0.09212 (0.044315;0.13747)";0.15631;0.61324;0.6215;0.76909;0.76909
"X_423770.txt.gz1.tbl.gz";"-0.15085 +/- 0.046945";"-0.16621 +/- 0.035924";"-0.1674 (-0.19695;-0.10955)";"-0.1674 (-0.2068;-0.1317)";1.6227e-07;0.10246;0.1099;0.10206;0.10206
"X_424640.txt.gz1.tbl.gz";"-0.022142 +/- 0.039139";"-0.020641 +/- 0.054465";"0 (-0.069225;0)";"0 (-0.069225;0)";6.5133e-09;0.34033;0.078059;0.90429;0.90429
"X_426781.txt.gz1.tbl.gz";"-0.13939 +/- 0.036786";"-0.1314 +/- 0.043349";"-0.1614 (-0.1614;-0.10088)";"-0.1614 (-0.1614;-0.0807)";1.8032e-14;0.43261;0.36516;0.43261;0.43261
"X_42925.txt.gz1.tbl.gz";"0.13606 +/- 0.038568";"0.14209 +/- 0.034951";"0.1618 (0.0809;0.1618)";"0.1618 (0.1618;0.1618)";4.6312e-16;0.48614;0.56776;0.48614;0.48614
"X_432433.txt.gz1.tbl.gz";"-0.12373 +/- 0.18264";"-0.081516 +/- 0.13209";"0 (-0.2722;0)";"0 (-0.2722;0)";1.2474e-14;0.22891;0.050748;0.22891;0.22891
"X_43282.txt.gz1.tbl.gz";"0.048818 +/- 0.063989";"0.024785 +/- 0.045543";"0 (0;0.1074)";"0 (0;0)";1.6685e-15;0.049564;0.039837;0.049564;0.049564
"X_43362.txt.gz1.tbl.gz";"-0.02407 +/- 0.077064";"-0.032949 +/- 0.072056";"-0.03575 (-0.099117;0.026508)";"-0.036983 (-0.099117;-0.0069)";9.3688e-05;0.52986;0.69829;0.6163;0.6163
"X_433749.txt.gz1.tbl.gz";"0.047021 +/- 0.039926";"0.041754 +/- 0.034457";"0.057067 (0.029325;0.077117)";"0.044183 (0.010208;0.065233)";0.023746;0.51742;0.38851;0.54251;0.54251
"X_434210.txt.gz1.tbl.gz";"-0.03148 +/- 0.067033";"-0.083858 +/- 0.12759";"0 (-0.0474;0)";"-0.0474 (-0.0948;0)";3.121e-14;0.030985;0.001303;0.06731;0.06731
"X_437445.txt.gz1.tbl.gz";"0.035527 +/- 0.077138";"0.047597 +/- 0.095445";"0 (0;0)";"0 (0;0)";1.884e-16;0.58734;0.24472;0.58734;0.58734
"X_440710.txt.gz1.tbl.gz";"-0.026056 +/- 0.053387";"-0.019142 +/- 0.047861";"-0.036469 (-0.054123;0.018617)";"-0.012531 (-0.033541;0.0057797)";0.0066723;0.38478;0.52521;0.56101;0.56101
"X_441469.txt.gz1.tbl.gz";"0.043023 +/- 0.040784";"0.080088 +/- 0.04026";"0.0631 (0;0.0631)";"0.0631 (0.0631;0.1262)";1.996e-10;0.8337;0.94118;0.00024854;0.00024854
"X_443044.txt.gz1.tbl.gz";"0.033807 +/- 0.050653";"0.036779 +/- 0.058889";"0 (0;0.10625)";"0 (0;0.10625)";1.2481e-14;0.8301;0.40462;0.8301;0.8301
"X_44361.txt.gz1.tbl.gz";"0.14825 +/- 0.05006";"0.1537 +/- 0.041263";"0.1763 (0.11019;0.1763)";"0.1763 (0.1763;0.1763)";1.0712e-15;0.60358;0.25409;0.60358;0.60358
"X_444015.txt.gz1.tbl.gz";"-0.096249 +/- 0.092371";"-0.10787 +/- 0.11694";"-0.08055 (-0.13682;-0.08055)";"-0.10869 (-0.21738;0)";4.4991e-05;0.03386;0.19974;0.66871;0.66871
"X_445968.txt.gz1.tbl.gz";"0.19816 +/- 0.048069";"0.18675 +/- 0.061071";"0.20731 (0.1881;0.22652)";"0.1881 (0.13248;0.22652)";7.153e-08;0.24856;0.19337;0.4211;0.4211
"X_446410.txt.gz1.tbl.gz";"-0.090355 +/- 0.036707";"-0.090142 +/- 0.032912";"-0.0804 (-0.11168;-0.073706)";"-0.0804 (-0.11168;-0.071475)";1.9365e-05;0.93714;0.52576;0.97928;0.97928
"X_446749.txt.gz1.tbl.gz";"-0.053123 +/- 0.042881";"-0.028191 +/- 0.057881";"-0.063619 (-0.083112;-0.027428)";"-0.037569 (-0.067691;0.010316)";0.0016401;0.072132;0.10746;0.063444;0.063444
"X_446978.txt.gz1.tbl.gz";"-0.094525 +/- 0.096749";"-0.11634 +/- 0.12647";"-0.094525 (-0.18905;0)";"-0.18905 (-0.18905;0)";7.3086e-12;0.39897;0.14786;0.45594;0.45594
"X_44725.txt.gz1.tbl.gz";"0.05688 +/- 0.031318";"0.067233 +/- 0.033581";"0.07055 (0.037875;0.07315)";"0.07575 (0.037875;0.07575)";4.1724e-06;0.71166;0.69495;0.19824;0.19824
"X_447622.txt.gz1.tbl.gz";"0.076727 +/- 0.05771";"0.11253 +/- 0.060322";"0.0844 (0.0211;0.0844)";"0.0844 (0.0844;0.1688)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_447914.txt.gz1.tbl.gz";"0.085703 +/- 0.030347";"0.083318 +/- 0.033269";"0.0889 (0.055529;0.10838)";"0.0889 (0.055283;0.10183)";0.0099456;0.60559;0.60692;0.76298;0.76298
"X_449065.txt.gz1.tbl.gz";"0.095523 +/- 0.036799";"0.093337 +/- 0.030207";"0.0862 (0.0793;0.1224)";"0.0862 (0.0862;0.1224)";9.204e-08;0.14414;0.2437;0.77603;0.77603
"X_44914.txt.gz1.tbl.gz";"-0.050368 +/- 0.036524";"-0.044695 +/- 0.047216";"-0.0486 (-0.08395;-0.0486)";"-0.0486 (-0.08395;-0.017175)";2.404e-07;0.37499;0.16451;0.60378;0.60378
"X_449533.txt.gz1.tbl.gz";"-0.0074834 +/- 0.054355";"-0.015725 +/- 0.05926";"-0.00491 (-0.052335;0.044219)";"-0.00491 (-0.03833;0.03216)";0.00016783;0.91422;0.62831;0.5591;0.5591
"X_453550.txt.gz1.tbl.gz";"0.14683 +/- 0.060979";"0.15585 +/- 0.065422";"0.17132 (0.1099;0.19934)";"0.17665 (0.10786;0.21055)";2.1678e-05;0.83296;0.69266;0.56338;0.56338
"X_454553.txt.gz1.tbl.gz";"0.081565 +/- 0.036821";"0.07637 +/- 0.049537";"0.093033 (0.060775;0.11827)";"0.093033 (0.046517;0.11827)";2.3625e-05;0.20295;0.11115;0.64881;0.64881
"X_45484.txt.gz1.tbl.gz";"-0.35856 +/- 0.57298";"-0.3034 +/- 0.51021";"0 (-0.98605;0)";"0 (-0.98605;0)";6.0327e-15;0.6639;0.49942;0.6639;0.6639
"X_456165.txt.gz1.tbl.gz";"-0.024352 +/- 0.04596";"-0.031596 +/- 0.054905";"0 (0;0)";"0 (-0.10715;0)";1.5983e-15;0.57343;0.32789;0.57343;0.57343
"X_45621.txt.gz1.tbl.gz";"-0.22545 +/- 0.1259";"-0.23161 +/- 0.11992";"-0.1837 (-0.3674;-0.1837)";"-0.1837 (-0.3674;-0.1837)";8.3522e-11;0.94488;0.77962;0.83366;0.83366
"X_469372.txt.gz1.tbl.gz";"-0.078668 +/- 0.039225";"-0.078071 +/- 0.044611";"-0.0641 (-0.1282;-0.0641)";"-0.0641 (-0.1282;-0.0641)";1.0902e-10;0.33922;0.47472;0.95474;0.95474
"X_47083.txt.gz1.tbl.gz";"0.46606 +/- 0.050838";"0.44633 +/- 0.080234";"0.4769 (0.4769;0.4769)";"0.4769 (0.4769;0.4769)";7.0571e-19;0.27789;0.017765;0.27789;0.27789
"X_471228.txt.gz1.tbl.gz";"0.077273 +/- 0.05812";"0.11333 +/- 0.060751";"0.085 (0.02125;0.085)";"0.085 (0.085;0.17)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_471755.txt.gz1.tbl.gz";"0.036906 +/- 0.036948";"0.037218 +/- 0.03848";"0.040175 (0;0.070306)";"0.040175 (0;0.056375)";7.6582e-09;0.7912;0.81835;0.97305;0.97305
"X_476331.txt.gz1.tbl.gz";"0.11382 +/- 0.057791";"0.11637 +/- 0.046752";"0.1565 (0.07825;0.1565)";"0.1565 (0.07825;0.1565)";1.7515e-12;0.83064;0.20953;0.83064;0.83064
"X_477110.txt.gz1.tbl.gz";"-0.13075 +/- 0.097879";"-0.16876 +/- 0.091389";"-0.12905 (-0.23521;-0.032262)";"-0.12905 (-0.2581;-0.12905)";1.2861e-10;0.79559;0.69215;0.093034;0.093034
"X_478658.txt.gz1.tbl.gz";"-0.25877 +/- 0.048771";"-0.24388 +/- 0.059987";"-0.2777 (-0.2777;-0.2777)";"-0.2777 (-0.2777;-0.2777)";1.1492e-16;0.28831;0.25762;0.28831;0.28831
"X_479251.txt.gz1.tbl.gz";"0.079732 +/- 0.025653";"0.085509 +/- 0.036416";"0.0849 (0.072431;0.0849)";"0.0849 (0.077775;0.12022)";4.2129e-06;0.19625;0.062819;0.48822;0.48822
"X_480713.txt.gz1.tbl.gz";"-0.046995 +/- 0.042913";"-0.037872 +/- 0.045701";"-0.07385 (-0.07385;0)";"0 (-0.07385;0)";2.4745e-12;0.68689;0.7232;0.40425;0.40425
"X_481133.txt.gz1.tbl.gz";"0.022055 +/- 0.04193";"0.022554 +/- 0.036506";"0.020325 (0;0.063569)";"0.036325 (0;0.036325)";4.9031e-07;0.32392;0.41816;0.95643;0.95643
"X_481525.txt.gz1.tbl.gz";"-0.015435 +/- 0.04955";"-0.025065 +/- 0.042194";"-0.01305 (-0.040881;0.0088078)";"-0.027572 (-0.046838;-0.0057438)";0.026654;0.40559;0.34574;0.36544;0.36544
"X_482943.txt.gz1.tbl.gz";"0.077056 +/- 0.02804";"0.082391 +/- 0.029822";"0.08025 (0.0769;0.08025)";"0.08025 (0.0769;0.11702)";4.8823e-09;0.36253;0.72869;0.45479;0.45479
"X_48314.txt.gz1.tbl.gz";"-0.065356 +/- 0.034845";"-0.078319 +/- 0.038533";"-0.062806 (-0.089144;-0.032628)";"-0.083675 (-0.093022;-0.0575)";0.023467;0.85383;0.57409;0.15829;0.15829
"X_483461.txt.gz1.tbl.gz";"-0.036951 +/- 0.031896";"-0.030734 +/- 0.033035";"-0.041475 (-0.0719;-0.01105)";"-0.041475 (-0.041475;-0.005525)";6.8434e-07;0.76188;0.84261;0.43412;0.43412
"X_484262.txt.gz1.tbl.gz";"0.18149 +/- 0.040689";"0.18154 +/- 0.031606";"0.20455 (0.1544;0.20455)";"0.20455 (0.15292;0.20455)";2.407e-13;0.99461;0.13216;0.99461;0.99461
"X_486715.txt.gz1.tbl.gz";"0.22446 +/- 0.15507";"0.24498 +/- 0.12819";"0.2147 (0.2147;0.37572)";"0.2147 (0.2147;0.37572)";4.6927e-11;0.283;0.26155;0.52858;0.52858
"X_48863.txt.gz1.tbl.gz";"-0.24614 +/- 0.13854";"-0.15551 +/- 0.13918";"-0.2166 (-0.37905;-0.2166)";"-0.2166 (-0.2166;0)";1.0584e-10;0.52175;0.97885;0.008169;0.008169
"X_490372.txt.gz1.tbl.gz";"-0.1058 +/- 0.066116";"-0.13368 +/- 0.059243";"-0.0931 (-0.1862;-0.0931)";"-0.1862 (-0.1862;-0.0931)";1.617e-11;0.66521;0.52336;0.060298;0.060298
"X_490635.txt.gz1.tbl.gz";"0.022784 +/- 0.04524";"0.021452 +/- 0.03343";"0.022538 (-0.014;0.053503)";"0.022538 (0.004175;0.0409)";0.00074294;0.10811;0.069077;0.87948;0.87948
"X_490756.txt.gz1.tbl.gz";"0.0171 +/- 0.037128";"0.032556 +/- 0.047516";"0 (0;0)";"0 (0;0.09405)";4.4785e-15;0.16246;0.1808;0.16246;0.16246
"X_49086.txt.gz1.tbl.gz";"-0.086748 +/- 0.10671";"-0.10059 +/- 0.13552";"0 (-0.21205;0)";"0 (-0.21205;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
